ID,class,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-crporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa
137,republican,0,2,0,2,2,2,0,0,0,2,2,2,2,0,0,2
82,democrat,2,0,2,0,0,0,2,2,1,2,2,2,0,2,0,2
125,democrat,0,1,2,0,0,0,2,2,2,0,0,0,0,0,2,2
317,democrat,0,0,0,0,0,2,0,2,2,0,2,2,2,2,2,0
56,republican,0,2,0,2,2,2,0,0,0,2,2,2,2,2,0,0
371,democrat,2,2,2,0,1,2,2,2,0,2,1,1,0,0,2,2
430,democrat,2,0,2,0,1,0,2,2,2,2,0,2,0,1,2,2
168,republican,2,0,2,2,2,2,2,2,0,2,2,2,0,2,2,2
248,republican,0,2,0,2,2,2,1,0,0,0,0,1,2,2,0,0
411,republican,0,0,0,2,2,2,0,0,0,0,2,2,2,2,0,2
52,republican,0,2,0,2,2,2,0,1,0,0,0,2,2,2,0,2
150,democrat,0,0,2,0,0,0,2,2,2,2,0,0,2,0,2,2
397,democrat,2,2,2,0,2,2,0,2,0,0,2,0,2,0,2,2
203,democrat,2,0,2,0,0,2,2,2,2,2,2,0,0,0,2,2
231,republican,0,2,0,2,2,2,0,0,0,0,0,2,2,2,0,2
103,democrat,2,0,2,0,2,2,2,0,1,0,2,0,2,2,2,1
121,republican,0,1,1,2,2,2,0,0,0,2,0,2,2,2,1,2
305,republican,0,2,0,2,2,2,0,0,0,2,0,2,2,2,0,1
10,democrat,2,2,2,0,0,0,2,2,2,0,0,0,0,0,1,1
115,democrat,2,1,2,0,0,0,2,2,2,0,0,0,0,0,2,1
364,republican,2,2,0,2,2,2,0,0,0,2,2,0,2,0,0,0
213,democrat,0,0,2,0,0,0,2,2,2,0,2,0,0,0,2,2
223,democrat,2,0,2,0,0,0,2,2,2,0,2,0,0,0,2,1
268,republican,2,0,0,0,0,0,2,2,2,2,0,0,0,2,0,2
189,republican,2,1,0,2,2,2,2,2,0,0,0,2,1,2,1,1
141,republican,0,0,0,2,0,0,2,2,2,2,0,0,2,2,0,2
250,democrat,2,0,2,0,0,0,2,2,1,0,2,0,0,0,2,2
219,democrat,2,1,2,0,0,0,2,2,2,0,1,0,0,0,2,1
341,republican,0,0,0,2,2,2,0,0,0,2,2,2,0,2,0,2
97,democrat,0,0,1,0,2,2,0,0,0,0,2,2,2,2,0,2
315,republican,0,2,0,2,2,2,2,2,0,0,2,2,2,2,2,2
355,democrat,0,2,2,0,0,2,2,2,2,2,0,1,0,0,2,2
331,republican,0,2,0,2,2,2,0,0,0,2,0,2,2,2,0,0
227,democrat,0,0,2,0,0,2,2,2,2,0,2,0,0,2,2,2
30,democrat,2,2,2,0,0,0,2,2,2,0,2,0,0,0,2,2
241,republican,0,0,0,2,0,2,2,1,2,0,0,2,2,2,0,2
419,democrat,2,2,2,0,0,0,2,2,0,2,0,0,0,0,0,2
69,democrat,2,1,2,0,0,0,2,2,2,0,0,0,2,0,2,2
324,democrat,2,2,2,0,2,2,0,2,1,2,0,0,2,2,0,1
417,republican,2,2,0,2,2,2,0,0,0,2,0,0,2,2,0,2
429,democrat,1,1,1,0,0,0,2,2,2,2,0,0,2,0,2,2
54,republican,2,2,0,2,2,2,0,0,0,2,0,2,2,2,0,0
396,democrat,2,2,2,1,0,0,0,2,0,0,2,1,0,0,2,2
280,republican,0,0,0,2,2,2,0,0,0,2,0,2,2,2,0,0
38,republican,2,2,0,2,2,2,0,0,0,0,0,0,2,2,0,2
25,democrat,2,0,2,0,0,0,2,2,2,0,0,0,0,0,2,1
410,republican,0,0,0,2,2,2,0,0,0,0,0,2,2,2,0,0
409,democrat,2,0,2,0,0,2,2,2,2,0,0,2,1,2,2,2
134,republican,0,0,0,2,2,2,0,0,0,2,0,2,2,2,0,2
343,democrat,0,2,2,0,2,1,2,0,0,2,2,0,2,0,2,2
421,republican,2,2,2,2,2,2,2,2,0,2,0,0,2,2,0,2
257,republican,0,0,0,2,2,0,0,0,0,0,0,2,0,2,0,0
253,democrat,2,2,2,0,0,2,2,2,2,0,0,0,0,0,2,2
319,democrat,0,0,2,0,0,0,2,2,2,0,0,0,0,0,2,1
21,democrat,2,2,2,0,0,1,2,2,0,0,2,0,0,0,2,2
44,democrat,2,0,2,0,0,0,2,2,2,0,0,0,0,0,2,2
399,democrat,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,2
22,democrat,2,2,2,0,0,0,2,2,2,0,0,0,1,1,2,2
234,republican,0,2,0,2,2,2,0,0,0,2,0,2,2,2,0,2
230,republican,0,2,2,2,2,2,2,0,2,2,0,2,2,2,0,2
188,democrat,2,0,2,0,0,0,2,2,2,0,0,0,0,0,2,1
120,republican,0,0,0,2,2,2,0,0,0,0,0,2,2,2,0,0
359,democrat,2,2,2,0,0,2,2,2,2,2,2,2,2,2,0,1
175,democrat,2,1,2,0,0,0,2,2,2,0,0,0,0,0,2,1
127,republican,0,1,0,2,2,2,0,0,0,0,0,2,2,2,0,0
13,democrat,0,2,2,0,0,0,2,2,2,0,0,0,2,0,1,1
94,democrat,2,0,2,0,0,0,2,0,2,2,2,0,0,0,2,2
340,republican,2,0,0,2,2,2,0,0,0,0,2,2,2,2,0,0
352,republican,0,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2
32,democrat,2,2,2,0,0,0,2,2,2,0,2,0,0,0,2,1
304,republican,0,0,0,2,2,2,0,0,0,0,0,2,2,2,0,0
346,republican,0,0,0,2,2,2,2,0,0,2,0,2,0,2,2,2
329,democrat,2,2,2,0,0,0,2,2,2,0,2,0,0,0,0,2
382,democrat,2,2,2,0,2,2,2,2,2,2,2,0,2,2,0,1
424,democrat,0,2,2,0,0,2,2,2,2,0,2,0,0,2,2,2
24,democrat,2,2,2,0,0,0,2,2,2,0,0,0,0,0,2,2
64,democrat,2,2,2,0,0,0,2,2,2,0,2,0,0,0,0,2
232,republican,0,2,0,2,2,2,0,0,2,2,0,2,2,2,0,2
224,republican,0,0,0,2,2,0,0,0,0,0,0,2,2,2,0,2
363,democrat,2,2,2,0,0,2,2,2,2,2,2,2,2,0,0,2
100,republican,0,0,0,2,2,2,0,0,0,2,1,2,2,2,0,0
217,democrat,2,2,2,0,2,2,0,0,1,2,0,0,0,2,2,1
216,democrat,0,2,2,2,2,2,0,0,0,2,2,2,2,2,2,1
433,republican,0,1,0,2,2,2,0,0,0,0,2,2,2,2,0,2
383,democrat,2,2,0,2,2,2,0,0,0,0,2,0,2,2,0,1
344,republican,0,0,0,2,2,0,2,0,2,2,0,0,0,2,0,2
301,republican,0,0,0,2,2,0,2,2,2,2,0,2,2,2,0,2
338,democrat,2,0,2,0,0,0,2,2,2,0,0,0,0,0,2,2
345,democrat,0,0,2,0,0,0,2,2,2,2,2,0,0,0,2,2
233,democrat,0,2,2,0,0,0,2,2,0,0,2,0,0,0,2,1
192,republican,0,2,0,2,2,2,0,1,0,2,0,2,2,2,0,1
350,republican,0,2,2,2,2,2,2,2,2,0,0,2,2,2,0,2
23,democrat,2,1,2,0,0,0,2,2,2,0,0,1,0,0,2,2
174,democrat,0,0,0,0,2,2,0,0,0,2,2,2,2,2,0,2
124,republican,2,1,0,2,2,2,0,2,0,0,0,2,2,2,0,2
354,republican,0,0,2,2,2,2,2,0,0,2,2,2,2,2,0,2
236,republican,0,0,0,2,2,2,0,0,0,2,0,2,0,2,0,2
431,republican,0,0,2,2,2,2,0,0,2,2,0,2,2,2,0,2
139,democrat,0,0,2,0,0,2,2,2,2,2,0,0,0,2,0,2
306,republican,0,0,0,2,2,2,0,0,0,2,0,2,2,2,0,0
172,republican,0,1,0,2,2,2,0,0,0,2,0,2,2,2,0,2
237,democrat,0,0,2,0,0,0,2,2,2,0,0,0,0,0,2,2
146,democrat,0,0,2,0,0,2,2,2,2,2,0,0,0,2,1,2
401,republican,0,2,0,2,2,2,0,1,0,0,1,1,1,2,0,1
283,republican,2,0,0,2,2,2,0,0,0,2,0,1,2,2,0,0
225,republican,0,2,0,2,2,2,0,0,0,2,0,1,2,2,0,0
288,democrat,2,2,2,1,0,2,2,2,2,0,2,0,2,0,1,2
104,democrat,2,0,0,0,2,2,1,0,1,0,0,0,0,2,1,0
26,democrat,2,0,2,0,0,0,2,2,2,2,0,0,0,0,2,2
142,republican,0,0,0,2,2,2,2,2,2,2,0,2,2,2,1,2
292,democrat,2,0,2,0,0,2,2,2,2,2,0,1,0,2,0,2
263,democrat,2,0,2,0,0,0,2,2,2,2,0,0,1,0,2,2
218,republican,0,2,0,2,2,2,0,0,0,2,0,2,2,2,0,0
58,republican,0,2,0,2,2,2,0,0,0,2,0,2,2,2,0,2
276,democrat,0,0,2,0,2,2,0,0,0,0,1,0,2,2,0,0
199,democrat,0,0,2,0,0,0,2,2,2,2,2,0,1,0,2,1
333,democrat,2,0,2,0,0,0,2,2,2,0,2,0,0,0,2,1
290,democrat,2,2,2,0,2,2,0,2,0,2,2,0,2,2,0,1
67,republican,0,2,0,2,2,2,2,0,0,0,2,2,2,2,0,2
349,democrat,2,0,2,0,0,0,2,2,2,2,0,2,0,0,2,1
392,democrat,2,2,0,0,0,0,0,2,2,0,2,0,0,0,2,0
157,republican,2,2,0,2,2,2,2,0,0,0,0,2,2,2,0,0
243,republican,0,0,0,0,2,2,2,0,0,0,0,1,0,2,2,2
204,democrat,2,0,2,0,0,0,2,2,2,2,0,0,0,0,2,2
311,republican,0,0,0,2,2,2,0,0,0,2,0,2,2,2,2,0
57,republican,0,2,0,2,2,2,0,0,0,2,2,2,2,2,0,2
246,democrat,2,0,2,0,0,0,2,2,2,2,2,0,0,0,2,2
81,democrat,2,0,2,0,0,2,2,2,2,2,0,2,0,2,0,1
423,democrat,0,0,2,0,0,2,2,2,2,0,2,0,0,0,2,2
86,democrat,0,0,2,0,2,2,0,0,0,2,2,2,2,2,0,2
390,democrat,2,0,2,0,0,0,2,2,2,1,2,0,0,0,2,1
398,democrat,2,2,0,0,2,1,0,0,0,0,2,0,2,2,0,2
3,democrat,1,2,2,1,2,2,0,0,0,0,2,0,2,2,0,0
185,democrat,0,0,2,0,0,0,2,2,2,2,2,0,0,0,2,2
193,democrat,0,0,0,0,0,2,2,2,2,0,2,0,0,2,2,2
297,republican,0,0,2,2,2,2,0,0,0,2,0,2,2,2,2,2
274,republican,0,0,0,2,2,0,2,2,0,2,0,2,2,2,1,2
310,democrat,2,0,0,0,0,2,2,2,2,2,0,0,0,2,2,2
391,democrat,1,1,0,0,1,2,1,0,0,0,2,2,0,2,0,1
83,republican,0,0,0,2,2,2,0,0,0,2,0,2,2,2,0,2
113,democrat,0,1,2,0,0,2,2,2,0,2,0,0,0,0,2,1
20,democrat,2,2,2,0,0,0,2,2,2,0,2,0,0,0,2,2
9,republican,0,2,0,2,2,2,0,0,0,0,0,2,2,2,0,2
279,republican,0,0,0,2,2,2,0,0,0,0,0,2,2,2,0,2
386,democrat,2,2,0,0,2,2,0,0,0,0,2,2,2,2,2,0
7,democrat,0,2,0,2,2,2,0,0,0,0,0,0,1,2,2,2
415,democrat,2,2,2,0,0,0,2,2,2,0,0,0,0,0,0,2
91,democrat,2,0,2,0,0,0,2,2,2,2,0,0,0,0,2,2
50,republican,0,1,0,2,2,2,0,0,0,0,0,2,2,2,0,0
28,democrat,2,2,2,0,0,0,2,2,2,0,2,0,0,0,2,2
298,democrat,2,2,2,0,0,2,2,2,2,2,0,0,1,0,2,1
327,democrat,2,2,0,2,0,0,2,2,2,0,2,0,0,2,0,2
215,republican,2,2,0,2,2,2,0,0,0,2,0,2,2,2,0,2
135,republican,0,0,0,2,2,2,0,0,0,0,0,2,2,2,0,1
377,democrat,2,1,2,0,0,0,2,2,2,0,2,0,0,0,2,2
362,democrat,2,0,2,0,2,2,2,0,2,2,0,0,2,2,0,1
226,republican,0,1,0,2,2,2,0,0,0,0,0,2,2,2,0,2
96,democrat,2,0,2,0,2,2,0,1,1,0,2,1,1,1,2,2
131,democrat,2,1,2,0,1,1,2,2,2,0,0,0,0,0,2,1
427,democrat,2,0,2,0,0,0,2,2,2,2,0,0,0,0,2,2
27,democrat,2,0,2,0,0,0,2,2,2,0,2,0,0,0,2,2
33,democrat,2,2,2,0,0,0,2,2,2,2,0,0,2,0,2,2
256,democrat,2,0,2,0,0,0,2,2,2,2,0,0,0,2,2,2
102,democrat,2,0,2,0,2,2,2,0,0,0,2,0,0,2,0,2
46,democrat,2,2,2,0,0,0,2,2,1,0,2,0,0,0,2,1
35,democrat,2,2,2,0,0,0,2,2,2,0,0,0,0,0,2,2
129,democrat,0,1,2,0,0,2,0,2,0,2,2,0,0,0,2,2
388,democrat,2,2,2,0,2,2,0,2,2,0,2,0,0,2,0,1
75,democrat,2,0,2,0,0,2,2,2,2,2,2,0,0,2,2,2
47,democrat,2,2,2,0,0,0,2,2,2,0,0,0,0,0,0,2
92,democrat,2,0,2,0,0,0,2,2,2,2,2,0,0,0,2,2
326,democrat,0,2,0,0,2,2,0,0,1,0,0,2,2,2,0,2
68,republican,0,2,0,2,2,2,0,0,0,2,0,2,2,2,0,0
59,republican,0,2,0,2,2,2,0,0,0,2,0,2,2,2,0,2
191,republican,0,1,0,2,2,2,0,0,0,0,0,2,2,2,0,1
255,democrat,2,0,2,0,0,0,2,2,2,2,0,0,0,0,0,2
372,democrat,2,2,2,0,1,0,2,2,2,2,0,0,0,0,2,1
339,democrat,2,0,2,0,0,0,2,2,2,2,0,0,0,2,2,2
98,democrat,2,0,0,0,2,2,2,0,0,2,2,0,0,2,0,2
95,democrat,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,2
198,republican,0,1,2,2,2,2,0,0,0,2,0,0,0,2,0,2
77,democrat,0,2,2,0,2,2,0,0,0,2,2,2,2,2,0,1
267,republican,0,0,0,2,2,2,0,0,0,2,0,2,0,2,0,2
84,republican,0,0,0,2,2,2,0,0,0,0,0,2,2,2,0,0
222,democrat,0,2,2,0,2,2,0,0,0,0,2,0,0,0,2,1
272,democrat,0,2,2,0,0,2,2,2,2,0,1,0,0,0,0,2
212,republican,0,2,0,2,2,2,0,0,0,2,0,2,2,2,0,2
87,republican,0,0,0,2,2,2,0,0,0,2,0,2,2,2,0,0
65,democrat,2,2,2,0,0,0,2,2,2,0,2,1,0,0,0,2
130,democrat,1,1,2,0,0,0,2,2,1,0,1,1,1,1,1,1
252,republican,0,2,0,2,2,2,0,0,0,0,0,2,2,2,0,0
14,democrat,2,2,2,0,0,2,2,2,1,2,2,1,0,0,2,1
73,democrat,2,2,2,0,0,0,2,2,2,0,2,0,0,0,2,1
145,democrat,0,1,0,0,0,2,2,2,2,2,0,0,0,2,0,1
229,republican,0,2,0,2,2,2,0,0,0,0,0,2,2,1,0,2
173,democrat,0,2,2,0,0,0,2,2,2,2,0,0,1,0,2,2
89,democrat,0,2,2,0,2,2,2,0,2,2,2,0,2,2,0,2
162,democrat,0,0,0,0,2,2,2,0,0,0,0,2,2,2,0,2
208,republican,2,1,0,2,2,2,2,0,0,2,0,2,2,2,0,2
271,democrat,2,2,2,0,0,0,2,2,2,0,0,0,0,0,2,2
277,republican,0,0,0,2,2,2,0,0,0,0,0,2,2,2,2,0
420,democrat,2,2,2,0,0,0,2,2,2,0,0,0,0,0,0,2
202,democrat,2,2,2,0,0,0,2,2,2,0,0,0,0,0,2,2
132,democrat,0,0,2,0,0,2,0,2,2,2,0,0,0,2,0,2
152,democrat,2,2,1,2,2,2,0,0,2,0,2,1,2,2,0,0
128,democrat,0,1,2,0,0,0,2,2,2,2,2,0,0,2,2,2
126,republican,0,1,0,2,2,2,0,0,0,2,0,2,2,2,0,2
416,democrat,0,2,2,0,0,2,2,2,1,2,0,0,0,0,0,2
422,democrat,0,2,2,0,2,2,2,2,0,0,2,0,2,0,2,2
221,democrat,0,0,2,0,0,0,2,2,2,0,0,0,0,0,2,1
117,democrat,2,0,2,0,0,0,2,2,2,0,2,0,0,0,2,2
261,democrat,2,0,2,0,0,0,2,2,2,2,0,0,0,0,0,2
151,republican,2,2,0,2,2,2,0,0,0,2,0,2,2,2,0,2
165,democrat,2,2,0,0,2,2,0,0,0,2,2,2,2,2,0,1
375,republican,0,2,0,2,2,2,0,0,0,0,0,2,2,2,0,2
144,democrat,1,2,0,0,0,0,2,2,2,2,2,0,0,2,2,2
93,democrat,2,2,2,0,0,0,2,2,0,2,2,0,0,1,2,2
291,democrat,2,0,2,0,1,2,1,2,2,2,0,0,2,2,0,2
